,N_dopant,E_formation,Ti_dopant_Ti_angle_min,Ti_dopant_Ti_angle_max,Ti_dopant_Ti_angle_mean,Ti_dopant_Ti_angle_std,dopant_Ti_distance_min,dopant_Ti_distance_max,dopant_Ti_distance_mean,dopant_Ti_distance_std,dopant_dopant_distance_min,CN_4Å_min,CN_4Å_max,CN_4Å_mean,CN_4Å_std,q_dopant_min,q_dopant_max,q_dopant_mean,q_dopant_std,q_Ti_min,q_Ti_max,q_Ti_mean,q_Ti_std,d_band_center_all,d_band_center_dopant,WF_dopant_face,WF_O_face,E_fermi,E_vacuum_dopant_face,E_vacuum_O_face
Configuration_57,28,4.6782,71.5999,81.5642,77.6001,2.5635,2.3283,2.4750,2.4203,0.0368,2.7297,1,4,2.9286,0.7986,-0.6915,-0.6251,-0.6583,0.0196,1.7276,1.9082,1.8093,0.0375,-3.823,-3.116,4.2843,5.4092,-1.3343,2.9500,4.0749
Configuration_3,29,4.6931,77.4337,81.3734,78.2347,0.9582,2.3284,2.4204,2.4011,0.0212,2.7924,1,4,2.8966,0.6071,-0.7196,-0.6275,-0.6689,0.0257,1.804,1.8965,1.8163,0.0165,-3.951,-3.247,3.9026,5.2920,-1.1096,2.7930,4.1824
Configuration_2,30,4.7207,79.0341,79.0341,79.0341,0.0000,2.3790,2.3790,2.3790,0.0000,3.0276,4,4,4.0000,0.0000,-0.6454,-0.6236,-0.6285,0.0084,1.7719,1.7756,1.7745,0.0014,-3.947,-3.229,3.6666,5.2485,-0.9978,2.6688,4.2507
Configuration_58,2,4.9104,83.2081,83.2081,83.2081,0.0000,2.3484,2.3498,2.3491,0.0007,7.1319,0,0,0.0000,0.0000,-0.6120,-0.6106,-0.6113,0.0007,1.9179,1.9232,1.9204,0.0024,-3.8190,-1.7790,6.6305,6.8959,-3.7898,2.8407,3.1061
Configuration_59,3,4.9610,82.5552,83.2503,82.8205,0.3067,2.3408,2.3512,2.3470,0.0042,4.8246,0,0,0.0000,0.0000,-0.6158,-0.6057,-0.6113,0.0042,1.9102,1.9194,1.9146,0.0031,-3.7550,-1.8320,6.4611,6.8490,-3.6757,2.7854,3.1733
Configuration_60,4,4.9840,82.5530,82.7054,82.5981,0.0622,2.3435,2.3481,2.3464,0.0019,4.8508,0,0,0.0000,0.0000,-0.6204,-0.6068,-0.6110,0.0056,1.9104,1.9118,1.9112,0.0005,-3.6620,-1.8520,6.3295,6.8365,-3.5977,2.7318,3.2388
Configuration_61,5,4.9406,82.2744,83.0844,82.6090,0.2626,2.3420,2.3779,2.3577,0.0153,2.8547,0,1,0.4000,0.4899,-0.6373,-0.6049,-0.6165,0.0139,1.9102,1.9175,1.9133,0.0025,-4.4940,-2.7930,5.3532,5.9153,-2.6315,2.7217,3.2838
Configuration_62,6,4.9586,82.1950,83.1769,82.6130,0.3995,2.3422,2.3766,2.3563,0.0124,2.8577,0,1,0.3333,0.4714,-0.6559,-0.6066,-0.6200,0.0165,1.9070,1.9218,1.9146,0.0046,-4.4080,-2.7920,5.2419,5.9199,-2.5715,2.6704,3.3484
Configuration_63,7,4.8763,80.5537,83.3799,81.2531,0.9608,2.3417,2.3886,2.3687,0.0161,2.8762,0,2,1.4286,0.7284,-0.6493,-0.6069,-0.6207,0.0159,1.7720,1.9161,1.8497,0.0643,-4.6370,-3.0580,4.9676,5.5709,-2.2234,2.7442,3.3475
Configuration_64,8,4.9807,82.3868,83.2898,82.6941,0.2831,2.3438,2.3788,2.3546,0.0127,2.8565,0,1,0.2500,0.4330,-0.6646,-0.6082,-0.6203,0.0172,1.9091,1.9218,1.9138,0.0036,-4.2400,-2.7810,5.0685,5.9491,-2.4815,2.5870,3.4676
Configuration_65,9,4.8871,80.8472,82.2897,81.4915,0.4370,2.3386,2.4338,2.3762,0.0270,2.8307,0,3,1.1111,0.8749,-0.6825,-0.6064,-0.6394,0.0297,1.8372,1.9225,1.8941,0.0286,-4.2800,-2.8840,5.0533,5.8195,-2.3615,2.6918,3.4580
Configuration_66,10,4.9392,80.0404,83.1821,81.7553,1.1150,2.3429,2.3984,2.3625,0.0150,2.8208,0,2,0.8000,0.6000,-0.6692,-0.5988,-0.6343,0.0236,1.8287,1.9179,1.8928,0.0323,-4.2200,-2.8760,4.8854,5.8218,-2.2835,2.6019,3.5383
Configuration_67,11,4.8069,78.3198,83.1671,80.3064,1.8710,2.3431,2.4235,2.3787,0.0226,2.8087,0,3,1.6364,0.8814,-0.6808,-0.6021,-0.6497,0.0236,1.8069,1.9278,1.8580,0.0472,-4.5210,-3.2030,4.6132,5.4064,-1.8934,2.7198,3.5130
Configuration_68,12,4.9081,77.6823,83.2225,81.2477,1.4997,2.3252,2.4538,2.3690,0.0318,2.7729,0,3,1.0000,1.0000,-0.6992,-0.6096,-0.6385,0.0283,1.8227,1.9148,1.8887,0.0343,-4.2500,-3.0210,4.6546,5.6741,-2.0554,2.5992,3.6187
Configuration_69,13,4.9438,80.7231,82.7113,81.6371,0.7531,2.3417,2.3901,2.3624,0.0162,2.8634,0,2,0.9231,0.8285,-0.6780,-0.6121,-0.6362,0.0212,1.8259,1.9178,1.8912,0.0343,-4.2720,-3.0920,4.4615,5.6106,-1.9234,2.5381,3.6872
Configuration_70,14,4.7422,72.1534,81.9952,78.4524,2.9370,2.3242,2.5147,2.4163,0.0489,2.7518,0,4,2.5714,1.1780,-0.7154,-0.5880,-0.6516,0.0374,1.7737,1.9189,1.8441,0.0493,-4.3310,-3.2030,4.6780,5.4183,-1.8370,2.8410,3.5813
Configuration_71,15,4.8448,76.7234,82.5159,80.1611,1.3341,2.3227,2.4629,2.3853,0.0348,2.7716,1,4,1.6000,0.8794,-0.6773,-0.6173,-0.6494,0.0137,1.8263,1.9162,1.8764,0.0343,-4.1390,-3.0500,4.6360,5.6243,-1.9354,2.7006,3.6889
Configuration_72,16,4.8756,75.9615,82.4935,80.3891,1.7106,2.3404,2.4355,2.3765,0.0285,2.7671,0,3,1.3750,0.8570,-0.7039,-0.5936,-0.6478,0.0280,1.8181,1.9182,1.8758,0.0396,-4.1960,-3.1460,4.3795,5.5367,-1.7674,2.6121,3.7693
Configuration_73,17,4.7852,75.2973,82.6241,79.3104,2.1130,2.3156,2.5001,2.3991,0.0371,2.7457,0,4,2.2353,1.0588,-0.7081,-0.5981,-0.6550,0.0316,1.8005,1.9233,1.8605,0.0431,-4.2580,-3.2500,4.3927,5.3951,-1.6473,2.7454,3.7478
Configuration_74,18,4.8168,76.7131,81.8020,79.7742,1.6734,2.3202,2.4746,2.3866,0.0361,2.7554,0,3,1.7778,0.8535,-0.6797,-0.6132,-0.6536,0.0179,1.8170,1.9111,1.8649,0.0393,-4.1950,-3.2150,4.3204,4.7059,-1.6233,2.6971,3.0826
